CIE;DESCRIPCION
V171;CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V172;CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V173;CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V174;CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V175;CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V179;CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V18;CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V180;CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V181;CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V182;CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V183;CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V184;CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V185;CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V189;CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V19;CICLISTA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS.
V190;CONDUCTOR DE VEHICULO DE PEDAL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRANSITO
V191;PASAJERO DE VEHICULO DE PEDAL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRANSITO
V192;CICLISTA NO ESPECIFICADO LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRANSITO
V193;CICLISTA (CUALQUIERA) LESIONADO EN ACCIDENTE NO DE TRANSITO, NO ESPECIFICADO
V194;CONDUCTOR DE VEHICULO DE PEDAL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE DE TRANSITO
V195;PASAJERO DE VEHICULO DE PEDAL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE DE TRANSITO
V196;CICLISTA NO ESPECIFICADO LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADO, EN ACCIDENTE DE TRANSITO
V198;CICLISTA [CUALQUIERA] LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE ESPECIFICADOS
V199;CICLISTA [CUALQUIERA] LESIONADO EN ACCIDENTE DE TRANSITO NO ESPECIFICADO
V20;MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL
V200;MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V201;MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V202;MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V203;MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V204;MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V205;MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V209;MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V21;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE PEDAL
V210;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE PEDAL, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V211;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE PEDAL, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V212;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE PEDAL, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V213;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE PEDAL, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V214;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE PEDAL, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V215;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE PEDAL, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V219;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE PEDAL, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V22;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V220;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V221;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V222;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V223;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V224;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V225;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V229;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V23;MOTOCICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA
V230;MOTOCICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V231;MOTOCICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V232;MOTOCICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, MOTOCICLISTA NO ESPECIFICADO LESIONADO EN ACCIDENTE NO DE TRANSITO
V233;MOTOCICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V234;MOTOCICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V235;MOTOCICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V239;MOTOCICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, MOTOCICLISTA NO ESPECIFICADO, LESION EN ACCIDENTE DE TRANSITO
V24;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V240;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V241;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V242;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V243;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V244;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V245;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V249;MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V25;MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V250;MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V251;MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V252;MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V253;MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V254;MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V255;MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V259;MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V26;MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V260;MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V261;MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V262;MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V263;MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V264;MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V265;MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V269;MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V27;MOTOCICLISTA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO
V270;MOTOCICLISTA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V271;MOTOCICLISTA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V272;MOTOCICLISTA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V273;MOTOCICLISTA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V274;MOTOCICLISTA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V275;MOTOCICLISTA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V279;MOTOCICLISTA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V28;MOTOCICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V280;MOTOCICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V281;MOTOCICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V282;MOTOCICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V283;MOTOCICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V284;MOTOCICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V285;MOTOCICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V289;MOTOCICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION, MOTOCICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V29;MOTOCICLISTA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
