CIE;DESCRIPCION
A162;TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A163;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A164;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A165;PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A167;TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A168;OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION
A169;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A17;TUBERCULOSIS DEL SISTEMA NERVIOSO
A170;MENINGITIS TUBERCULOSA
A171;TUBERCULOMA MENINGEO
A178;OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
A179;TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA
A18;TUBERCULOSIS DE OTROS ORGANOS
A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
A182;LINFADENOPATIA PERIFERICA TUBERCULOSA
A183;TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS
A184;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO
A185;TUBERCULOSIS DEL OJO
A186;TUBERCULOSIS DEL OIDO
A187;TUBERCULOSIS DE GLANDULAS SUPRARRENALES
A188;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A19;TUBERCULOSIS MILIAR
A190;TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO
A191;TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES
A192;TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA
A198;OTRAS TUBERCULOSIS MILIARES
A199;TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION
A20;PESTE
A200;PESTE BUBONICA
A201;PESTE CELULOCUTANEA
A202;PESTE NEUMONICA
A203;MENINGITIS POR PESTE
A207;PESTE SEPTICEMICA
A208;OTRAS FORMAS DE PESTE
A209;PESTE, NO ESPECIFICADA
A21;TULAREMIA
A210;TULAREMIA ULCEROGLANDULAR
A211;TULAREMIA OCULOGLANDULAR
A212;TULAREMIA PULMONAR
A213;TULAREMIA GASTROINTESTINAL
A217;TULAREMIA GENERALIZADA
A218;OTRAS FORMAS DE TULAREMIA
A219;TULAREMIA, NO ESPECIFICADA
A22;CARBUNCO [ANTRAX]
A220;CARBUNCO CUTANEO
A221;CARBUNCO PULMONAR
A222;CARBUNCO GASTROINTESTINAL
A227;CARBUNCO SEPTICO
A228;OTRAS FORMAS DE CARBUNCO
A229;CARBUNCO, NO ESPECIFICADO
A23;BRUCELOSIS
A230;BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS
A231;BRUCELOSIS DEBIDA A BRUCELLA ABORTUS
A232;BRUCELOSIS DEBIDA A BRUCELLA SUIS
A233;BRUCELOSIS DEBIDA A BRUCELLA CANIS
A238;OTRAS BRUCELOSIS
A239;BRUCELOSIS, NO ESPECIFICADA
A24;MUERMO Y MELIOIDOSIS
A240;MUERMO
A241;MELIOIDOSIS AGUDA Y FULMINANTE
A242;MELIOIDOSIS SUBAGUDA Y CRONICA
A243;OTRAS MELIOIDOSIS
A244;MELIOIDOSIS, NO ESPECIFICADA
A25;FIEBRE POR MORDEDURA DE RATA
A250;ESPIRILOSIS
A251;ESTREPTOBACILOSIS
A259;FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA
A26;ERISIPELOIDE
A260;ERISIPELOIDE CUTANEO
A267;SEPSIS POR ERYSIPELOTHRIX
A268;OTRAS FORMAS DE ERISIPELOIDE
A269;ERISIPELOIDE, NO ESPECIFICADA
A27;LEPTOSPIROSIS
A270;LEPTOSPIROSIS ICTEROHEMORRAGICA
A278;OTRAS FORMAS DE LEPTOSPIROSIS
A279;LEPTOSPIROSIS, NO ESPECIFICADA
A28;OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE
A280;PASTEURELOSIS
A281;ENFERMEDAD POR RASGUÑO DE GATO
A282;YERSINIOSIS EXTRAINTESTINAL
A288;OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE
A289;ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION
A30;LEPRA [ENFERMEDAD DE HANSEN]
A300;LEPRA INDETERMINADA
A301;LEPRA TUBERCULOIDE
A302;LEPRA TUBERCULOIDE LIMITROFE
A303;LEPRA LIMITROFE
A304;LEPRA LEPROMATOSA LIMITROFE
A305;LEPRA LEPROMATOSA
A308;OTRAS FORMAS DE LEPRA
A309;LEPRA, NO ESPECIFICADA
A31;INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
A310;INFECCIONES POR MICOBACTERIAS PULMONARES
A311;INFECCION CUTANEA POR MICOBACTERIAS
A318;OTRAS INFECCIONES POR MICOBACTERIAS
A319;INFECCION POR MICOBACTERIA, NO ESPECIFICADA
A32;LISTERIOSIS
A320;LISTERIOSIS CUTANEA
A321;MENINGITIS Y MENINGOENCEFALITIS LISTERIANA
A327;SEPSIS LISTERIANA
A328;OTRAS FORMAS DE LISTERIOSIS
A329;LISTERIOSIS, NO ESPECIFICADA
A33X;TETANOS NEONATAL
A34X;TETANOS OBSTETRICO
A35X;OTROS TETANOS
A36;DIFTERIA
A360;DIFTERIA FARINGEA
A361;DIFTERIA NASOFARINGEA
A362;DIFTERIA LARINGEA
A363;DIFTERIA CUTANEA
A368;OTRAS DIFTERIAS
A369;DIFTERIA, NO ESPECIFICADA
A37;TOS FERINA [TOS CONVULSIVA]
A370;TOS FERINA DEBIDA A BORDETELLA PERTUSSIS
A371;TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS
A378;TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA
A379;TOS FERINA, NO ESPECIFICADA
A38X;ESCARLATINA
A39;ENFERMEDAD MENINGOCOCICA
A390;MENINGITIS MENINGOCOCICA
A391;SINDROME DE WATERHOUSE-FRIDERICHSEN
A392;MENINGOCOCEMIA AGUDA
A393;MENINGOCOCEMIA CRONICA
A394;MENINGOCOCEMIA, NO ESPECIFICADA
A395;ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO
A398;OTRAS FORMAS DE ENFERMEDAD MENINGOCOCICA
A399;ENFERMEDAD MENINGOCOCICA, NO ESPECIFICADA
A40;SEPSIS ESTREPTOCOCICA
A400;SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO A
A401;SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO B
A402;SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO D Y ENTEROCOCO
A403;SEPSIS DEBIDA A STREPTOCOCCUS PNEUMONIAE
A408;OTRAS SEPSIS ESTREPTOCOCICAS
A409;SEPSIS ESTREPTOCOCICA, NO ESPECIFICADA
A41;OTRAS SEPSIS
A410;SEPSIS DEBIDA A STAPHYLOCOCCUS AUREUS
A411;SEPSIS DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO
A412;SEPSIS DEBIDA A ESTAFILOCOCO NO ESPECIFICADO
A413;SEPSIS DEBIDA A HAEMOPHILUS INFLUENZAE
A414;SEPSIS DEBIDA A ANAEROBIOS
A415;SEPSIS DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS
A418;OTRAS SEPSIS ESPECIFICADAS
A419;SEPSIS, NO ESPECIFICADA
A42;ACTINOMICOSIS
A420;ACTINOMICOSIS PULMONAR
A421;ACTINOMICOSIS ABDOMINAL
A422;ACTINOMICOSIS CERVICOFACIAL
A427;SEPSIS ACTINOMICOTICA
A428;OTRAS FORMAS DE ACTINOMICOSIS
A429;ACTINOMICOSIS, SIN OTRA ESPECIFICACION
A43;NOCARDIOSIS
A430;NOCARDIOSIS PULMONAR
A431;NOCARDIOSIS CUTANEA
A438;OTRAS FORMAS DE NOCARDIOSIS
A439;NOCARDIOSIS, NO ESPECIFICADA
A44;BARTONELOSIS
A440;BARTONELOSIS SISTEMICA
A441;BARTONELOSIS CUTANEA Y MUCOCUTANEA
A448;OTRAS FORMAS DE BARTONELOSIS
A449;BARTONELOSIS, NO ESPECIFICADA
A46X;ERISIPELA
A48;OTRAS ENFERMEDADES BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE
A480;GANGRENA GASEOSA
A481;ENFERMEDAD DE LOS LEGIONARIOS
A482;ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA (FIEBRE DE PONTIAC)
A483;SINDROME DEL CHOQUE TOXICO
A484;FIEBRE PURPURICA BRASILEÑA
A488;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
A49;INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
A490;INFECCION ESTAFILOCOCICA, SITIO NO ESPECIFICADO
A491;INFECCION ESTREPTOCOCICA Y ENTEROCOCICA DE SITIO NO ESPECIFICADO
A492;INFECCION POR HAEMOPHILUS INFLUENZAE, SITIO NO ESPECIFICADO
A493;INFECCION POR MICOPLASMA, SITIO NO ESPECIFICADO
A498;OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
A499;INFECCION BACTERIANA, NO ESPECIFICADA
A50;SIFILIS CONGENITA
A500;SIFILIS CONGENITA PRECOZ, SINTOMATICA
A501;SIFILIS CONGENITA PRECOZ, LATENTE
A502;SIFILIS CONGENITA PRECOZ, SIN OTRA ESPECIFICACION
A503;OCULOPATIA SIFILITICA CONGENITA TARDIA
A504;NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL]
A505;OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA
A506;SIFILIS CONGENITA TARDIA, LATENTE
A507;SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION
A509;SIFILIS CONGENITA, SIN OTRA ESPECIFICACION
A51;SIFILIS PRECOZ
A510;SIFILIS GENITAL PRIMARIA
A511;SIFILIS PRIMARIA ANAL
A512;SIFILIS PRIMARIA EN OTROS SITIOS
A513;SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS
A514;OTRAS SIFILIS SECUNDARIAS
A515;SIFILIS PRECOZ, LATENTE
A519;SIFILIS PRECOZ, SIN OTRA ESPECIFICACION
A52;SIFILIS TARDIA
A520;SIFILIS CARDIOVASCULAR
A521;NEUROSIFILIS SINTOMATICA
A522;NEUROSIFILIS ASINTOMATICA
A523;NEUROSIFILIS NO ESPECIFICADA
A527;OTRAS SIFILIS TARDIAS SINTOMATICAS
A528;SIFILIS TARDIA, LATENTE
A529;SIFILIS TARDIA, NO ESPECIFICADA
A53;OTRAS SIFILIS Y LAS NO ESPECIFICADAS
A530;SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA
A539;SIFILIS, NO ESPECIFICADA
A54;INFECCION GONOCOCICA
A540;INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL Y DE GLANDULA ACCESORIA
A541;INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS
A542;PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS
A543;INFECCION GONOCOCICA DEL OJO
A544;INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR
A545;FARINGITIS GONOCOCICA
A546;INFECCION GONOCOCICA DEL ANO Y DEL RECTO
A548;OTRAS INFECCIONES GONOCOCICAS
A549;INFECCION GONOCOCICA, NO ESPECIFICADA
A55X;LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
A56;OTRAS ENFERMEDADES DE TRANSMISION SEXUAL DEBIDAS A CLAMIDIAS
A560;INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS
A561;INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS
A562;INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACION
A563;INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS
A564;INFECCION DE FARINGE DEBIDA A CLAMIDIAS
A568;INFECCION DE TRANSMISION SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS
A57X;CHANCRO BLANDO
A58X;GRANULOMA INGUINAL
A59;TRICOMONIASIS
A590;TRICOMONIASIS UROGENITAL
A598;TRICOMONIASIS DE OTROS SITOS
A599;TRICOMONIASIS, NO ESPECIFICADA
A60;INFECCION ANOGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]
A600;INFECCION DE GENITALES Y TRAYECTO UROGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]
A601;INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE
A609;INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION
A63;OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL, NO CLASIFICADAS EN OTRA PARTE
A630;VERRUGAS (VENEREAS) ANOGENITALES
A638;OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS
A64X;ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA
A65X;SIFILIS NO VENEREA
A66;FRAMBESIA
A660;LESIONES INICIALES DE FRAMBESIA
A661;LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO
A662;OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA
A663;HIPERQUERATOSIS DE FRAMBESIA
A664;GOMA Y ULCERAS DE FRAMBESIA
A665;GANGOSA
A666;LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES
A667;OTRAS MANIFESTACIONES DE FRAMBESIA
A668;FRAMBESIA LATENTE
A669;FRAMBESIA, NO ESPECIFICADA
A67;PINTA [CARATE]
A670;LESIONES PRIMARIAS DE LA PINTA
A671;LESIONES INTERMEDIAS DE LA PINTA
A672;LESIONES TARDIAS DE LA PINTA
A673;LESIONES MIXTAS DE LA PINTA
A679;PINTA, NO ESPECIFICADA
A68;FIEBRES RECURRENTES
A680;FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS
A681;FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS
A689;FIEBRE RECURRENTE, NO ESPECIFICADA
A69;OTRAS INFECCIONES CAUSADAS POR ESPIROQUETAS
A690;ESTOMATITIS ULCERATIVA NECROTIZANTE
A691;OTRAS INFECCIONES DE VINCENT
A692;ENFERMEDAD DE LYME
A698;OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS
A699;INFECCION POR ESPIROQUETA, NO ESPECIFICADA
A70X;INFECCION DEBIDA A CHLAMYDIA PSITTACI
A71;TRACOMA
A710;ESTADO INICIAL DE TRACOMA
A711;ESTADO ACTIVO DE TRACOMA
A719;TRACOMA, NO ESPECIFICADO
A74;OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS
A740;CONJUNTIVITIS POR CLAMIDIAS
A748;OTRAS ENFERMEDADES POR CLAMIDIAS
A749;INFECCION POR CLAMIDIAS, NO ESPECIFICADA
A75;TIFUS
A750;TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS
A751;TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL]
A752;TIFUS DEBIDO A RICKETTSIA TYPHI
A753;TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI
A759;TIFUS, NO ESPECIFICADO
A77;FIEBRE MACULOSA [RICKETTSIOSIS TRANSMITIDA POR GARRAPATAS]
A770;FIEBRE MACULOSA DEBIDA A RICKETTSIA RICKETTSII
A771;FIEBRE MACULOSA DEBIDA A RICKETTSIA CONORII
A772;FIEBRE MACULOSA DEBIDA A RICKETTSIA SIBERICA
A773;FIEBRE MACULOSA DEBIDA A RICKETTSIA AUSTRALIS
A778;OTRAS FIEBRES MACULOSAS
A779;FIEBRE MACULOSA, NO ESPECIFICADA
A78X;FIEBRE Q
A79;OTRAS RICKETTSIOSIS
A790;FIEBRE DE LAS TRINCHERAS
A791;RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI
A798;OTRAS RICKETTSIOSIS ESPECIFICADAS
A799;RICKETTSIOSIS, NO ESPECIFICADA
A80;POLIOMIELITIS AGUDA
A800;POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA
A801;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO
A802;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO
A803;OTRAS POLIOMIELITIS AGUDAS PARALITICAS Y LAS NO ESPECIFICADAS
A804;POLIOMIELITIS AGUDA NO PARALITICA
A809;POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACION
A81;INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO
A810;ENFERMEDAD DE CREUTZFELDT-JAKOB
A811;PANENCEFALITIS ESCLEROSANTE SUBAGUDA
A812;LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA
A818;OTRAS INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO
A819;INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO, SIN OTRA ESPECIFICACION
A82;RABIA
A820;RABIA SELVATICA
A821;RABIA URBANA
A829;RABIA, SIN OTRA ESPECIFICACION
A83;ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS
A830;ENCEFALITIS JAPONESA
A831;ENCEFALITIS EQUINA DEL OESTE
A832;ENCEFALITIS EQUINA DEL ESTE
A833;ENCEFALITIS DE SAN LUIS
A834;ENCEFALITIS AUSTRALIANA
A835;ENCEFALITIS DE CALIFORNIA
A836;ENFERMEDAD POR VIRUS ROCIO
A838;OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS
A839;ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS, SIN OTRA ESPECIFICACION
A84;ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS
A840;ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS PRIMAVEROESTIVAL RUSA]
A841;ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS
A848;OTRAS ENCEFALITIS VIRALES TRANSMITIDA POR GARRAPATAS
A849;ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS, SIN OTRA ESPECIFICACION
A85;OTRAS ENCEFALITIS VIRALES, NO CLASIFICADAS EN OTRA PARTE
A850;ENCEFALITIS ENTEROVIRAL
A851;ENCEFALITIS POR ADENOVIRUS
A852;ENCEFALITIS VIRAL TRANSMITIDA POR ARTROPODOS, SIN OTRA ESPECIFCACION
A858;OTRAS ENCEFALITIS VIRALES ESPECIFCADAS
A86X;ENCEFALITIS VIRAL, NO ESPECIFICADA
A87;MENINGITIS VIRAL
A870;MENINGITIS ENTEROVIRAL
A871;MENINGITIS DEBIDA A ADENOVIRUS
A872;CORIOMENINGITIS LINFOCITICA
A878;OTRAS MENINGITIS VIRALES
A879;MENINGITIS VIRAL, SIN OTRA ESPECIFICACION
A88;OTRAS INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL, NO CLASIFICADAS EN OTRA PARTE
A880;FIEBRE EXANTEMATICA ENTEROVIRAL [EXANTEMA DE BOSTON]
A881;VERTIGO EPIDEMICO
A888;OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL
A89X;INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADA
A92;OTRAS FIEBRES VIRALES TRANSMITIDAS POR MOSQUITOS
A920;ENFERMEDAD POR VIRUS CHIKUNGUNYA
A921;FIEBRE DE ONYONG-NYONG
A922;FIEBRE EQUINA VENEZOLANA
A923;INFECCION POR VIRUS DEL OESTE DEL NILO
A924;FIEBRE DEL VALLE DEL RIFT
A928;OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS
A929;FIEBRE VIRAL TRANSMITIDA POR MOSQUITO, SIN OTRA ESPECIFICACION
A93;OTRAS FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS, NO CLASIFICADAS EN OTRA PARTE
A930;ENFERMEDAD POR VIRUS DE OROPOUCHE
A931;FIEBRE TRANSMITIDA POR FLEBOTOMOS
A932;FIEBRE DE COLORADO TRANSMITIDA POR GARRAPATAS
A938;OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR ARTROPODOS
A94X;FIEBRE VIRAL TRANSMITIDA POR ARTROPODOS, NO ESPECIFICADA
A95;FIEBRE AMARILLA
A950;FIEBRE AMARILLA SELVATICA
